experiment_id,case,delegate_type,image_path,true_class,predicted_class,similarity_score
pre_a_average,pre_a,average,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6248_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9356416882054958
pre_a_centroid,pre_a,centroid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6248_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.8888223788009951
pre_a_weighted,pre_a,weighted,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6248_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9365879433246844
pre_a_medoid,pre_a,medoid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6248_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.8888223788009951
pre_a_average,pre_a,average,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6243_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9599999006040976
pre_a_centroid,pre_a,centroid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6243_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9227866847842452
pre_a_weighted,pre_a,weighted,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6243_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9604844964767489
pre_a_medoid,pre_a,medoid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_6243_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9227866847842452
pre_a_average,pre_a,average,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1429_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9515109299602309
pre_a_centroid,pre_a,centroid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1429_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9038455172513589
pre_a_weighted,pre_a,weighted,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1429_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.950657592353084
pre_a_medoid,pre_a,medoid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1429_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9038455172513589
pre_a_average,pre_a,average,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1407_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9536145671232753
pre_a_centroid,pre_a,centroid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1407_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9258221510529575
pre_a_weighted,pre_a,weighted,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1407_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.953417084498867
pre_a_medoid,pre_a,medoid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1407_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9258221510529575
pre_a_average,pre_a,average,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1413_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.9650452236248066
pre_a_centroid,pre_a,centroid,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1413_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.923160274969549
pre_a_weighted,pre_a,weighted,dataset_segmented/natural_images/cocacola-cocacola-default-350/IMG_1413_cropped_obj0_rmbg.png,cocacola-cocacola-default-350,cocacola-cocacola-default-350,0.965480779481932
